"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","...11","has_prior"
3331748,3338781,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","245(b)","PC","Felony",NA,NA,NA,0
3331748,3338781,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","245(b)","PC","Felony",NA,NA,NA,0
3331748,3338781,6,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","245(a)(2)","PC","Felony",NA,NA,NA,0
3331748,3338781,7,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","245(a)(2)","PC","Felony",NA,NA,NA,0
3331748,3338782,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","187(a)","PC","Felony",NA,NA,NA,0
3331748,3338782,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","182(a)(1)","PC","Felony",NA,NA,NA,0
3331748,3338782,3,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","246","PC","Felony",NA,NA,NA,0
3331748,3338782,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","245(b)","PC","Felony",NA,NA,NA,0
3331748,3338782,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","245(b)","PC","Felony",NA,NA,NA,0
3331748,3338782,6,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","245(a)(2)","PC","Felony",NA,NA,NA,0
3331748,3338782,7,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2021-09-02,"N","245(a)(2)","PC","Felony",NA,NA,NA,0
3331980,3339029,1,"186.22(b)(1)","PC","Enhancement",2023-04-18,"Dismissed/Not True","Hispanic","Male",2021-10-22,40000,"Appearance Date",NA,2021-10-22,"N","25850(a)/(c)(6)","PC","Felony",2023-04-18,"Reduced",NA,0
3331980,3339029,2,"186.22(b)(1)","PC","Enhancement",2023-04-18,"Dismissed/Not True","Hispanic","Male",2021-10-22,40000,"Appearance Date",NA,2021-10-22,"N","25400(a)(1)/(c)(6)","PC","Felony",2023-04-18,"Reduced",NA,0
3332221,3339297,13,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3332221,3339297,13,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3332221,3339297,14,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3332221,3339297,14,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3332221,3339297,15,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3332221,3339297,15,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3332221,3339297,16,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3332221,3339297,16,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3332221,3339297,17,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","245(b)","PC","Felony",NA,NA,NA,0
3332221,3339297,17,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","245(b)","PC","Felony",NA,NA,NA,0
3332221,3339297,18,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","245(b)","PC","Felony",NA,NA,NA,0
3332221,3339297,18,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","245(b)","PC","Felony",NA,NA,NA,0
3332221,3339297,19,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","245(b)","PC","Felony",NA,NA,NA,0
3332221,3339297,19,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","245(b)","PC","Felony",NA,NA,NA,0
3332221,3339297,20,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","245(b)","PC","Felony",NA,NA,NA,0
3332221,3339297,20,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","245(b)","PC","Felony",NA,NA,NA,0
3332221,3339297,21,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","25850(a)/(c)(6)","PC","Felony",NA,NA,NA,0
3332221,3339297,21,"186.22(b)(2)","PC","Allegation",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","25850(a)/(c)(6)","PC","Felony",NA,NA,NA,0
3332221,3339297,22,"186.22(b)(1)","PC","Enhancement",NA,NA,"Other","Male",2021-10-23,1e+06,"Appearance Date",NA,2021-10-23,"N","626.9(b)","PC","Felony",NA,NA,NA,0
3332891,3340112,1,"186.22(b)(1)","PC","Enhancement",2023-05-17,"Dismissed/Not True","Hispanic","Female",NA,25000,"Arraignment Letter",NA,2021-10-26,"N","11378","HS","Felony",2023-05-17,"Dismissed/Not Guilty",NA,0
3333443,3340633,1,"186.22(b)(1)","PC","Enhancement",2023-01-09,"TRUE","Hispanic","Male",2021-10-30,1e+06,"Appearance Date",NA,2021-10-30,"N","594(a)/(b)(1)","PC","Felony",2023-01-09,"Guilty",NA,1
3333443,3340633,2,"186.22(b)(1)","PC","Enhancement",2023-01-09,"TRUE","Hispanic","Male",2021-10-30,1e+06,"Appearance Date",NA,2021-10-30,"N","22210","PC","Felony",2023-01-09,"Guilty",NA,1
3333813,3341023,3,"186.22(b)(1)","PC","Enhancement",2022-09-28,"Dismissed/Not True","Hispanic","Female",2021-10-31,40000,"In Custody",NA,2021-10-31,"N","25850(a)/(c)(6)","PC","Felony",2022-09-28,"Guilty",NA,0
3333813,3341024,1,"186.22(b)(1)","PC","Enhancement",2022-09-28,"Dismissed/Not True","Hispanic","Female",2021-10-31,50000,"In Custody",NA,2021-10-31,"N","29800(a)(1)","PC","Felony",2022-09-28,"Guilty",NA,0
3334398,3341681,1,"186.22(b)(1)","PC","Enhancement",2022-03-10,"Dismissed/Not True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2021-10-28,"N","594(a)/(b)(1)","PC","Felony",2022-03-10,"Reduced",NA,1
